id,name,descr,lang_code,is_active,cr_by,cr_dtimes
10001,ما قبل التسجيل,بوابة الويب للتسجيلات المسبقة,ara,TRUE,superadmin,now()
10003,عميل التسجيل,تطبيق سطح المكتب للتسجيلات,ara,TRUE,superadmin,now()
10005,معالج التسجيل,طلب لعملية ما بعد التسجيل,ara,TRUE,superadmin,now()
10007,مصادقة الهوية,تطبيق لمصادقة موفر خدمة جهة خارجية,ara,TRUE,superadmin,now()
10009,التحكم في الهوية,بوابة الويب لتكوين التطبيقات,ara,TRUE,superadmin,now()
10011,بوابة المقيمين,البوابة الإلكترونية لخدمات إنشاء معرف المشاركة,ara,TRUE,superadmin,now()
10001,Pre-Registration,Web portal for pre-registrations,eng,TRUE,superadmin,now()
10003,Registration Client,Desktop application for Registrations,eng,TRUE,superadmin,now()
10005,Registration Processor,Application for post-registration process,eng,TRUE,superadmin,now()
10007,ID Authentication,Application for third party service provider authentication,eng,TRUE,superadmin,now()
10009,ID Control,Web portal for configuring applications,eng,TRUE,superadmin,now()
10011,Resident Portal,Web portal for Post ID generation services,eng,TRUE,superadmin,now()
10001,Pré-inscription,Portail Web pour les pré-inscriptions,fra,TRUE,superadmin,now()
10003,Client dinscription,Application de bureau pour les inscriptions,fra,TRUE,superadmin,now()
10005,Processeur dinscription,Demande de post-inscription,fra,TRUE,superadmin,now()
10007,Authentification ID,Application pour lauthentification du fournisseur de services tiers,fra,TRUE,superadmin,now()
10009,Contrôle didentité,Portail Web pour la configuration dapplications,fra,TRUE,superadmin,now()
10011,Portail Résident,Portail Web pour les services de génération de post-ID,fra,TRUE,superadmin,now()
10001,ಪೂರ್ವ ನೋಂದಣಿ,ಪೂರ್ವ-ನೋಂದಣಿಗಾಗಿ ವೆಬ್ ಪೋರ್ಟಲ್,kan,TRUE,superadmin,now()
10003,ನೋಂದಣಿ ಗ್ರಾಹಕ,ನೋಂದಣಿಗಾಗಿ ಡೆಸ್ಕ್‌ಟಾಪ್ ಅಪ್ಲಿಕೇಶನ್,kan,TRUE,superadmin,now()
10005,ನೋಂದಣಿ ಪ್ರೊಸೆಸರ್,ನೋಂದಣಿ ನಂತರದ ಪ್ರಕ್ರಿಯೆಗಾಗಿ ಅರ್ಜಿ,kan,TRUE,superadmin,now()
10007,ID ದೃಢೀಕರಣ,ಮೂರನೇ ವ್ಯಕ್ತಿಯ ಸೇವಾ ಪೂರೈಕೆದಾರರ ದೃಢೀಕರಣಕ್ಕಾಗಿ ಅರ್ಜಿ,kan,TRUE,superadmin,now()
10009,ID ನಿಯಂತ್ರಣ,ಅಪ್ಲಿಕೇಶನ್‌ಗಳನ್ನು ಕಾನ್ಫಿಗರ್ ಮಾಡಲು ವೆಬ್ ಪೋರ್ಟಲ್,kan,TRUE,superadmin,now()
10011,ನಿವಾಸ ಪೋರ್ಟಲ್,ಅಪ್ಲಿಕೇಶನ್‌ಗಳನ್ನು ಕಾನ್ಫಿಗರ್ ಮಾಡಲು ವೆಬ್ ಪೋರ್ಟಲ್,kan,TRUE,superadmin,now()
10001,पूर्व-पंजीकरण,पूर्व पंजीकरण के लिए वेब पोर्टल,hin,TRUE,superadmin,now()
10003,पंजीकरण ग्राहक,पंजीकरण के लिए डेस्कटॉप आवेदन,hin,TRUE,superadmin,now()
10005,पंजीकरण प्रोसेसर,पंजीकरण के बाद की प्रक्रिया के लिए आवेदन,hin,TRUE,superadmin,now()
10007,आईडी प्रमाणीकरण,तृतीय पक्ष सेवा प्रदाताओं की पुष्टि के लिए आवेदन,hin,TRUE,superadmin,now()
10009,आईडी नियंत्रण,अनुप्रयोगों को कॉन्फ़िगर करने के लिए वेब पोर्टल,hin,TRUE,superadmin,now()
10011,होम पोर्टल,अनुप्रयोगों को कॉन्फ़िगर करने के लिए वेब पोर्टल,hin,TRUE,superadmin,now()
10001,முன் பதிவு,முன் பதிவுகளுக்கான இணைய போர்டல்,tam,TRUE,superadmin,now()
10003,பதிவு வாடிக்கையாளர்,பதிவுகளுக்கான டெஸ்க்டாப் பயன்பாடு,tam,TRUE,superadmin,now()
10005,பதிவு செயலி,பதிவுக்குப் பிந்தைய செயல்முறைக்கான விண்ணப்பம்,tam,TRUE,superadmin,now()
10007,ஐடி அங்கீகாரம்,மூன்றாம் தரப்பு சேவை வழங்குநரின் அங்கீகாரத்திற்கான விண்ணப்பம்,tam,TRUE,superadmin,now()
10009,அடையாளக் கட்டுப்பாடு,பயன்பாடுகளை உள்ளமைப்பதற்கான இணைய போர்டல்,tam,TRUE,superadmin,now()
10011,குடியுரிமை போர்ட்டல்,போஸ்ட் ஐடி உருவாக்கும் சேவைகளுக்கான இணைய போர்டல்,tam,TRUE,superadmin,now()
